1319
-3.843 2.172 2.679
      -3.839 2.320 2.823
      -3.828 1.836 2.601
      -3.831 2.166 2.690
      -3.829 2.310 2.830
      -3.805 2.418 3.079
      -3.782 1.540 2.493
      -3.741 2.398 3.304
      -3.730 2.384 3.294
      -3.679 1.140 2.550
      -3.674 1.850 2.580
      -3.671 2.148 2.660
      -3.691 2.292 3.463
      -3.656 2.366 2.913
      -3.557 0.834 2.660
      -3.549 1.154 2.627
      -3.572 2.042 3.554
      -3.533 2.264 2.576
      -3.561 2.410 3.240
      -3.518 1.920 2.457
      -3.551 2.134 3.287
      -3.521 2.432 2.719
      -3.514 0.622 2.841
      -3.478 1.852 2.697
      -3.478 2.142 2.774
      -3.217 1.060 3.184
      -3.471 2.544 2.995
      -3.298 1.590 3.422
      -3.472 2.506 3.290
      -3.445 0.820 2.933
      -3.428 1.580 2.687
      -3.439 2.392 3.455
      -3.398 0.330 3.224
      -3.432 2.054 2.990
      -3.371 1.222 2.602
      -3.327 0.928 2.707
      -3.310 0.622 2.831
      -3.318 2.214 3.526
      -3.285 0.284 3.175
      -3.267 0.484 2.985
      -3.277 2.154 3.181
      -3.254 0.806 2.984
      -3.247 0.164 3.553
      -3.217 0.562 3.048
      -3.237 2.090 3.541
      -3.204 0.664 3.123
      -3.218 2.132 3.395
      -3.213 2.082 3.516
      -3.190 1.248 3.767
      -3.161 1.758 2.922
      -3.144 0.414 3.243
      -3.146 0.498 3.316
      -3.141 2.302 3.162
      -3.154 1.766 3.704
      -3.117 3.234 2.939
      -3.101 0.876 3.028
      -3.107 0.862 3.833
      -3.083 0.538 3.338
      -3.057 1.850 2.666
      -3.082 1.252 3.963
      -3.061 0.404 3.490
      -3.037 1.126 2.884
      -3.028 1.342 2.837
      -3.078 1.294 4.662
      -3.080 3.371 3.948
      -3.081 1.282 5.085
      -3.020 1.128 2.869
      -3.068 2.350 4.020
      -3.046 0.572 3.810
      -3.058 1.906 4.110
      -3.059 2.818 3.980
      -2.972 4.059 2.778
      -3.002 0.890 3.028
      -2.986 1.318 2.647
      -2.996 0.738 3.196
      -3.024 1.588 5.568
      -3.034 1.208 5.483
      -3.024 1.268 4.230
      -2.993 0.354 3.797
      -3.023 2.006 4.681
      -2.999 0.540 4.313
      -3.015 2.464 4.613
      -2.968 4.279 3.944
      -2.933 1.012 2.717
      -2.956 0.586 3.358
      -3.033 3.508 4.659
      -3.005 2.052 5.167
      -2.994 0.502 4.614
      -3.007 2.966 4.613
      -2.927 0.450 3.148
      -2.961 0.298 4.101
      -2.964 1.504 5.838
      -2.980 0.478 4.948
      -2.871 1.772 2.097
      -2.952 2.012 5.643
      -2.991 3.579 5.201
      -2.964 4.262 4.739
      -2.954 2.518 5.169
      -2.903 -0.326 4.833
      -2.852 0.482 2.832
      -2.889 1.650 6.013
      -2.965 3.048 5.175
      -2.889 -0.350 4.613
      -2.944 0.416 5.264
      -2.892 1.376 6.147
      -2.945 1.048 6.000
      -2.866 -0.338 4.380
      -2.845 1.956 6.015
      -2.850 -0.612 4.896
      -2.934 3.050 5.385
      -2.895 2.250 5.680
      -2.924 3.586 5.594
      -2.919 4.297 5.352
      -2.823 -0.698 4.725
      -2.821 2.216 6.059
      -2.818 -0.322 4.206
      -2.771 -0.180 3.290
      -2.797 -0.862 5.097
      -2.784 -0.240 3.630
      -2.806 -0.690 5.287
      -2.918 0.686 5.782
      -2.829 -0.380 5.420
      -2.848 2.488 5.722
      -2.731 1.772 6.299
      -2.777 -0.322 4.089
      -2.723 -0.124 2.918
      -2.769 -0.956 4.954
      -2.669 1.900 1.499
      -2.718 1.912 6.282
      -2.764 -0.786 4.594
      -2.713 1.976 6.289
      -2.858 0.046 5.542
      -2.866 4.204 5.764
      -2.747 1.600 6.353
      -2.880 0.332 5.635
      -2.709 2.034 6.290
      -2.633 4.434 1.906
      -2.705 2.104 6.306
      -2.742 -0.308 3.903
      -2.774 2.480 6.174
      -2.786 1.228 6.438
      -2.695 2.178 6.332
      -2.727 1.534 6.402
      -2.803 3.526 6.161
      -2.659 0.532 2.376
      -2.840 0.894 6.341
      -2.645 5.082 3.998
      -2.819 4.047 6.069
      -2.813 2.980 5.922
      -2.725 -1.100 5.273
      -2.775 4.919 4.934
      -2.686 2.270 6.362
      -2.702 -1.022 4.811
      -2.697 1.474 6.469
      -2.774 4.861 5.496
      -2.616 1.832 6.467
      -2.767 3.804 6.315
      -2.610 1.924 6.464
      -2.630 1.688 6.484
      -2.605 1.984 6.467
      -2.791 4.697 5.731
      -2.748 -0.790 5.766
      -2.674 2.442 6.413
      -2.604 2.040 6.470
      -2.720 -0.968 5.691
      -2.607 2.102 6.475
      -2.674 -1.202 5.163
      -2.757 4.585 6.046
      -2.717 3.444 6.406
      -2.614 2.174 6.485
      -2.618 1.614 6.528
      -2.622 2.272 6.501
      -2.714 4.449 6.334
      -2.615 -0.860 3.773
      -2.762 -0.468 5.876
      -2.699 2.862 6.375
      -2.584 -0.844 3.421
      -2.822 0.540 6.197
      -2.681 -1.150 5.597
      -2.621 -0.848 4.396
      -2.703 4.094 6.507
      -2.598 1.564 6.589
      -2.470 3.496 1.094
      -2.620 2.400 6.546
      -2.786 -0.068 6.001
      -2.800 0.212 6.092
      -2.669 3.804 6.634
      -2.643 3.364 6.585
      -2.590 -1.298 5.086
      -2.633 2.762 6.573
      -2.652 3.670 6.678
      -2.522 2.144 6.626
      -2.506 2.064 6.617
      -2.503 1.752 6.648
      -2.541 2.240 6.630
      -2.491 1.944 6.622
      -2.494 2.006 6.620
      -2.486 1.886 6.630
      -2.485 1.840 6.640
      -2.613 -1.336 5.510
      -2.628 3.558 6.712
      -2.502 1.688 6.662
      -2.604 2.652 6.720
      -2.553 2.332 6.670
      -2.645 1.058 6.742
      -2.699 0.734 6.656
      -2.381 2.036 0.913
      -2.514 -0.884 4.062
      -2.518 -0.888 4.270
      -2.592 3.438 6.745
      -2.476 1.648 6.713
      -2.568 2.528 6.851
      -2.459 5.162 2.578
      -2.444 1.780 6.708
      -2.489 -1.142 4.601
      -2.558 3.276 6.807
      -2.538 -1.450 5.473
      -2.337 -1.558 3.059
      -2.523 1.258 6.823
      -2.352 -0.726 2.508
      -2.428 2.094 6.768
      -2.449 2.164 6.771
      -2.666 0.404 6.580
      -2.411 2.036 6.767
      -2.406 1.736 6.761
      -2.109 -2.562 1.896
      -2.536 3.130 6.898
      -2.611 -0.920 6.187
      -2.397 1.978 6.769
      -2.470 2.254 6.803
      -2.390 1.938 6.776
      -2.586 -1.088 6.119
      -2.634 -0.562 6.310
      -2.519 2.944 7.052
      -2.377 1.898 6.789
      -2.515 2.812 7.112
      -2.466 5.446 4.842
      -2.504 5.327 5.486
      -2.644 -0.164 6.444
      -2.478 2.394 6.938
      -2.504 2.684 7.143
      -2.646 0.100 6.505
      -2.243 -1.454 2.591
      -2.302 -1.650 3.549
      -2.534 5.122 5.925
      -2.267 0.594 1.347
      -2.358 1.856 6.811
      -2.417 1.404 6.892
      -2.545 -1.286 6.034
      -2.460 -1.560 5.440
      -2.349 1.696 6.824
